Ch1 Amplitude,Ch2 Amplitude,Cluster
939.5401,11795.0137,4
971.184143,7867.81543,1
971.4025,8377.34,1
975.554443,10007.0215,4
985.0053,9522.546,4
1001.70636,7920.316,1
1003.37311,8500.698,1
1005.0144,10217.5547,4
1005.6405,9709.372,4
1008.0047,9880.518,4
1008.068,9782.466,4
1008.55939,9694.01,4
1009.17542,11442.623,4
1010.17572,8458.055,1
1017.69067,10589.3535,4
1019.25311,8378.994,1
1019.90393,9589.797,4
1029.92358,8373.782,1
1030.99011,8295.09,1
1032.65393,8346.277,1
1033.51233,10257.8,4
1033.95947,9885.89551,4
1036.835,9802.262,4
1037.7439,8659.666,1
1041.22986,8270.514,1
1043.07629,9627.384,4
1043.35193,9661.839,4
1043.41675,11945.3711,4
1048.00122,9071.068,1
1048.16211,9570.473,4
1048.29846,9957.527,4
1051.103,8070.447,1
1051.32922,8304.947,1
1051.86426,9967.889,4
1051.88916,9600.22,4
1053.06055,10249.376,4
1053.26367,9825.921,4
1053.70093,9781.772,4
1053.85913,9617.261,4
1054.06262,9649.574,4
1054.37317,8097.438,1
1055.65955,9687.606,4
1055.75513,9956.821,4
1056.30676,9604.837,4
1057.18518,8332.991,1
1057.3678,9584.816,4
1057.42029,10520.5029,4
1060.92871,8113.557,1
1062.36035,9484.769,4
1062.43726,8372.273,1
1062.67822,10068.2139,4
1062.72559,9901.749,4
1063.56543,9673.178,4
1064.43372,9905.894,4
1065.54028,8183.79053,1
1065.62109,9884.593,4
1067.03027,11540.9883,4
1067.4281,10146.0566,4
1067.811,8274.567,1
1067.91113,10199.3887,4
1069.15344,10103.5664,4
1069.28516,8383.336,1
1069.835,9453.344,4
1071.3374,9931.195,4
1071.37549,8544.855,1
1072.04236,8455.909,1
1072.51221,8232.408,1
1075.63147,10298.55,4
1075.76733,8383.35449,1
1076.21448,8592.975,1
1076.71155,9417.521,4
1076.93811,8150.665,1
1077.23132,9720.879,4
1077.62537,12772.4912,4
1077.76855,8725.061,1
1077.87183,10271.7168,4
1078.09277,9784.963,4
1078.99939,8278.2,1
1079.1156,8023.89648,1
1079.58289,12525.4736,4
1079.7771,8363.14551,1
1080.9812,8407.826,1
1081.55,8145.562,1
1081.635,9316.431,4
1081.67712,9497.583,4
1082.26416,7973.71338,1
1082.29626,9628.129,4
1082.34949,9562.785,4
1082.40259,9878.77051,4
1082.48621,9612.056,4
1083.15881,7807.904,1
1083.22046,9956.996,4
1083.24792,8569.129,1
1083.92493,11418.3047,4
1084.78711,8858.667,1
1084.87939,9840.424,4
1084.89575,9914.48,4
1085.40063,8470.804,1
1085.876,9646.927,4
1085.99927,9708.765,4
1086.66431,9694.635,4
1086.78345,8324.684,1
1087.10657,9802.238,4
1087.31409,10618.8232,4
1087.4021,9599.003,4
1087.50452,8288.92,1
1087.678,9849.143,4
1088.627,9709.344,4
1089.24219,9714.245,4
1090.22644,9628.849,4
1090.88013,8505.831,1
1091.23987,9541.321,4
1091.25,8182.5166,1
1091.39722,8273.241,1
1091.43066,8183.02344,1
1092.258,8454.913,1
1093.02942,8903.02051,1
1093.21936,7993.98438,1
1093.59265,10006.0186,4
1093.829,10338.6377,4
1094.186,10357.8184,4
1094.2699,8458.416,1
1095.38672,8095.69873,1
1095.44836,7965.95752,1
1095.53186,9802.925,4
1095.61426,9733.031,4
1095.961,8103.68555,1
1096.03992,8347.799,1
1096.19531,8306.239,1
1096.36279,8202.15,1
1097.74365,8678.355,1
1098.3197,10353.5586,4
1098.59619,10939.1094,4
1098.66223,9505.294,4
1099.13428,8017.31934,1
1099.26331,8348.778,1
1099.28,8047.16846,1
