Ch1 Amplitude,Ch2 Amplitude,Cluster
1045.179,9722.397,4
1056.74084,7752.234,1
1062.82776,9103.368,4
1067.67,7715.929,1
1078.90881,7738.18457,1
1081.6886,9635.604,4
1084.63257,10002.46,4
1097.62036,11870.498,4
1099.62439,7441.459,1
1100.10144,9543.398,4
1108.0415,7612.31445,1
1113.11426,8303.553,1
1113.62476,7704.75439,1
1114.3645,7292.36572,1
1115.00513,7542.599,1
1117.08313,7518.338,1
1119.93274,9499.226,4
1121.1925,9893.669,4
1121.60266,9250.482,4
1121.83325,7632.57,1
1125.24255,9325.936,4
1125.44116,7475.988,1
1125.67334,9603.804,4
1125.92944,7691.10059,1
1126.20752,7592.244,1
1127.60181,7748.324,1
1128.25977,7606.969,1
1131.13159,7554.307,1
1131.39539,7760.041,1
1131.645,7697.73145,1
1132.204,7569.819,1
1132.52734,7607.18457,1
1133.42615,10622.8027,4
1135.58228,7814.301,1
1137.68213,7640.174,1
1139.20374,8159.079,1
1140.48132,9796.139,4
1140.76111,9387.622,4
1141.86646,10387.584,4
1143.61877,7786.905,1
1145.978,7480.37,1
1145.99121,7613.31836,1
1146.63245,7723.58447,1
1148.004,7895.004,1
1148.09814,9600.803,4
1150.59241,7562.236,1
1150.61243,9979.072,4
1152.3075,7677.56641,1
1153.13953,8110.7876,1
1154.12463,7513.23633,1
1155.28687,7454.65,1
1155.96533,7469.0376,1
1156.14709,7645.51,1
1156.721,7522.09033,1
1157.38074,7574.854,1
1158.02148,7541.245,1
1158.242,7404.238,1
1158.94678,7683.13428,1
1159.42029,7914.405,1
1160.18665,9403.99,4
1160.23425,7587.88135,1
1160.591,7755.777,1
1161.0321,7485.19,1
1161.22607,7673.1665,1
1162.116,7541.141,1
1162.13525,7542.68848,1
1164.10266,7572.78857,1
1164.61523,9859.761,4
1164.88892,7627.55664,1
1165.13062,9792.007,4
1165.89685,7491.694,1
1165.97729,7662.227,1
1165.98743,7543.454,1
1166.92725,7602.232,1
1167.60144,7519.638,1
1168.38647,7609.71973,1
1168.7688,7450.27,1
1168.84058,7465.597,1
1169.00916,7458.657,1
1169.61707,7974.963,1
1169.80115,7776.49854,1
1171.19482,9689.356,4
1171.23352,7693.42334,1
1171.725,7667.136,1
1172.0083,10596.6377,4
1172.17212,7425.25244,1
1172.86938,7670.113,1
1173.75781,10745.0225,4
1173.9906,9436.137,4
1174.33447,7844.94,1
1174.42078,7388.332,1
1174.44312,7605.315,1
1174.5177,8289.616,1
1174.948,7673.421,1
1175.05383,7326.909,1
1175.14941,7503.976,1
1175.34839,9445.916,4
1175.89734,7698.671,1
1176.0448,7566.47949,1
1176.04944,7428.15332,1
1176.22888,7469.614,1
1176.28674,9450.485,4
1176.77185,7853.55957,1
1176.82288,7684.244,1
1177.087,7656.66455,1
1177.497,7627.671,1
1177.60339,7470.49561,1
1177.97375,7531.37744,1
1178.22375,7649.70654,1
1179.254,7732.83057,1
1179.65271,9488.849,4
1180.15491,7432.44971,1
1180.82288,7601.46631,1
1180.862,9356.559,4
1181.0072,7411.756,1
1181.43127,7707.397,1
1181.81152,7767.03857,1
1182.06287,7538.30273,1
1182.08057,7228.74658,1
1182.27026,7714.17041,1
1182.44446,7538.5415,1
1182.51819,7503.79346,1
1183.22046,8565.994,4
1183.37769,7830.461,1
1184.324,7815.615,1
1184.37488,7656.60742,1
1184.45227,7723.02051,1
1184.637,7582.05859,1
1184.65588,7547.97852,1
1184.8092,7590.068,1
1184.82385,7738.159,1
1184.84912,7729.55469,1
1185.00122,7647.659,1
1185.59644,7369.892,1
1185.79712,7375.178,1
1185.84924,7621.29834,1
1185.85022,8713.253,4
1185.94153,7480.887,1
1186.97034,7667.94043,1
1187.7262,7346.00732,1
1187.8772,7333.241,1
1187.967,7712.28,1
1188.10425,7525.00928,1
1188.21741,7456.37158,1
1188.2522,7412.86865,1
1188.29468,7922.836,1
1188.399,7560.42969,1
1188.66382,7492.147,1
1188.6864,7479.431,1
1188.90576,7814.928,1
1189.9032,7640.31,1
1190.20862,7784.15527,1
1190.36658,7405.269,1
1190.61157,7429.728,1
1190.83252,9856.505,4
1190.86548,9632.804,4
1191.04517,9353.517,4
1191.265,7623.074,1
1191.29541,7403.587,1
1191.38013,7522.554,1
1191.54126,9316.58,4
1191.77832,10494.2979,4
1192.042,9432.844,4
1192.29529,7575.689,1
1192.30518,9782.062,4
1192.32935,7639.05664,1
1192.7334,7345.884,1
1192.81714,7740.8667,1
1192.98975,7493.055,1
1193.72607,7738.193,1
1193.88379,7563.85449,1
1194.45508,7677.71436,1
1194.5033,7529.27051,1
1194.51282,9412.1875,4
1194.66736,7689.239,1
1194.9303,7441.173,1
1194.96069,9326.322,4
1195.23572,7296.274,1
1195.63489,7752.149,1
1195.65332,7390.05029,1
1195.74536,7813.38,1
