Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A04",Absolute Quantification,"ABS","SW1463",Ch1Unknown,"VIM","Manual",186,ddPCR Supermix for Probes (no dUTP),3720,,,193,179,2739,16000,1789,950,11114,4886,0,18739,,,,,,,,0.135,,,0.141,0.13,11.93,,,12.37,11.49,1,1,2228,4067.4,1353.7,1750.4,"",,,,189.5,182.4,,,,,,,0.1383,0.1326,,,12.15,11.71,
"B04",Absolute Quantification,"ABS","SW403",Ch1Unknown,"VIM","Manual",47.5,ddPCR Supermix for Probes (no dUTP),950,,,51.1,43.9,670,16263,250,420,7143,9120,0,16933,,,,,,,,0.07,,,0.076,0.065,6.57,,,7.06,6.09,1,1,2684,4538,1334,1460.8,"",,,,49.3,45.7,,,,,,,0.0732,0.0675,,,6.82,6.33,
"D04",Absolute Quantification,"ABS","SW480",Ch1Unknown,"VIM","Manual",5.9,ddPCR Supermix for Probes (no dUTP),118,,,7.6,4.5,59,11654,27,32,8205,3449,0,11713,,,,,,,,0.0042,,,0.0052,0.0031,0.41,,,0.52,0.31,1,1,2502,3989.1,1438.1,1450.9,"",,,,6.7,5.2,,,,,,,0.0047,0.0036,,,0.47,0.36,
"D05",Absolute Quantification,"ABS","IVDZ_bisulf",Ch1Unknown,"VIM","Manual",173,ddPCR Supermix for Probes (no dUTP),3460,,,181,165,1727,10915,862,865,5766,5149,0,12642,,,,,,,,0.198,,,0.208,0.187,16.5,,,17.2,15.8,1,1,2532,4714,1403.5,1855.7,"",,,,177,168.7,,,,,,,0.203,0.192,,,16.88,16.13,
"H05",Absolute Quantification,"ABS","NTC",Ch1Unknown,"VIM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19638,0,0,0,19638,0,19638,,,,,,,,,,,,,,,,,,1,1,2259,0,1384.2,1384.2,"",,,,0.082,0,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","SW1463",Ch2Unknown," new4Plex","Manual",1372,ddPCR Supermix for Probes (no dUTP),27440,,,1398,1348,12903,5836,1789,950,11114,4886,0,18739,,,,,,,,0.135,,,0.141,0.13,11.93,,,12.37,11.49,1,1,9129,10866,8239,10048,"",,,,1385,1360,,,,,,,0.1383,0.1326,,,12.15,11.71,
"B04",Absolute Quantification,"ABS","SW403",Ch2Unknown," new4Plex","Manual",675,ddPCR Supermix for Probes (no dUTP),13500,,,691,660,7393,9540,250,420,7143,9120,0,16933,,,,,,,,0.07,,,0.076,0.065,6.57,,,7.06,6.09,1,1,8817,9981.2,7750.8,8724.6,"",,,,683,667,,,,,,,0.0732,0.0675,,,6.82,6.33,
"D04",Absolute Quantification,"ABS","SW480",Ch2Unknown," new4Plex","Manual",1428,ddPCR Supermix for Probes (no dUTP),28560,,,1461,1395,8232,3481,27,32,8205,3449,0,11713,,,,,,,,0.0042,,,0.0052,0.0031,0.41,,,0.52,0.31,1,1,8740,10460,7633.7,9619.7,"",,,,1444,1411,,,,,,,0.0047,0.0036,,,0.47,0.36,
"D05",Absolute Quantification,"ABS","IVDZ_bisulf",Ch2Unknown," new4Plex","Manual",874,ddPCR Supermix for Probes (no dUTP),17480,,,896,853,6628,6014,862,865,5766,5149,0,12642,,,,,,,,0.198,,,0.208,0.187,16.5,,,17.2,15.8,1,1,8391,10021,7571.4,8855.8,"",,,,885,863,,,,,,,0.203,0.192,,,16.88,16.13,
"H05",Absolute Quantification,"ABS","NTC",Ch2Unknown," new4Plex","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19638,0,0,0,19638,0,19638,,,,,,,,,,,,,,,,,,1,1,8506,0,7003.7,7003.7,"",,,,0.082,0,,,,,,,,,,,,,
